"gene","pvalue_happi"
"Cellulase.cellobiase.CelA1","Error in happi::happi_test(outcome = my_results$outcome, covariate = my_perm_covariate,  : 
  Full model could not be optimized! Try increasing the number of nstarts or simplifying your model.
"
"Leucine.rich.repeat..LRR..protein","Error in happi::happi_test(outcome = my_results$outcome, covariate = my_perm_covariate,  : 
  Full model could not be optimized! Try increasing the number of nstarts or simplifying your model.
"
"Translation.elongation.factor.EF.4..membrane.bound.GTPase","Error in happi::happi_test(outcome = my_results$outcome, covariate = my_perm_covariate,  : 
  Full model could not be optimized! Try increasing the number of nstarts or simplifying your model.
"
"Arginine.deiminase","Error in happi::happi_test(outcome = my_results$outcome, covariate = my_perm_covariate,  : 
  Full model could not be optimized! Try increasing the number of nstarts or simplifying your model.
"
"Tfp.pilus.assembly.protein.PilE","Error in happi::happi_test(outcome = my_results$outcome, covariate = my_perm_covariate,  : 
  Full model could not be optimized! Try increasing the number of nstarts or simplifying your model.
"
"DNA.directed.RNA.polymerase..beta..subunit.160.kD.subunit","Error in happi::happi_test(outcome = my_results$outcome, covariate = my_perm_covariate,  : 
  Full model could not be optimized! Try increasing the number of nstarts or simplifying your model.
"
"Isoleucyl.tRNA.synthetase","Error in happi::happi_test(outcome = my_results$outcome, covariate = my_perm_covariate,  : 
  Full model could not be optimized! Try increasing the number of nstarts or simplifying your model.
"
"DNA.topoisomerase.IA","Error in happi::happi_test(outcome = my_results$outcome, covariate = my_perm_covariate,  : 
  Full model could not be optimized! Try increasing the number of nstarts or simplifying your model.
"
"Ribosomal.protein.L21","Error in happi::happi_test(outcome = my_results$outcome, covariate = my_perm_covariate,  : 
  Full model could not be optimized! Try increasing the number of nstarts or simplifying your model.
"
"X5..3..exonuclease","Error in happi::happi_test(outcome = my_results$outcome, covariate = my_perm_covariate,  : 
  Full model could not be optimized! Try increasing the number of nstarts or simplifying your model.
"
